vesselId,letterPart_호제외,number_호있는것,number_호없는것,koreanNameCandidates
0ced98a7a-a436-71e6-13df-1d89a129b78a,YONG SUNG,,,용성 | 영성 | 용승
0cefcadad-d2ea-f1f1-db9b-5dc8776ba813,TAE HUN,,2,태훈
0cf7c570e-e4f4-9018-be01-82a03696f605,BOONG BOONG,,,붕붕
0cfee703b-bc7e-dfcf-1df7-b948fb90858a,DAE JIN,,,대진
0d0095750-0fb3-57c7-ff73-bdbf64448c81,DA DUK,,,다덕 | 대덕
0d35aceef-f454-c011-27b9-c4b0803554aa,O NIK SEU,,,
0d4448c24-424a-f40e-9433-b55280a25254,DONG GEON,,,동건
0d5991fba-a635-804a-c398-672f7cdbb11f,DONG SEONG,,,동성
0d677c9f1-16b8-39fc-6217-574b1ed47e57,KUM JEONG,793호,,금정
0d74cb1c7-71da-eb0f-2dc8-a896efd11baf,HAEPUNG,,5,해풍
0d79fe8cd-d1ca-ab13-1112-2e4d3c61aa03,HAEJIN,,102,해진
0dc053403-3b71-dd9d-3240-093536db1769,HAE SEONG,,,해성
0dd07339a-a892-75c4-c6fc-2800e208cb5e,DEOK YONG,,,덕용 | 덕영
0deffc4a5-5297-6cbf-28c3-f35bbbac525c,YOUNG JIN,,,영진 | 용진
0e119be45-567f-42be-26ce-5c89b259f879,SUNG YOUNG,21호,,성영 | 성용 | 승영
0e20884f6-6c41-6583-b99b-b7f34cad7205,YANG JIN,,,양진 | 향진
0e2732f86-60ce-28cd-606d-59f7bc888ebf,SUNG JIN,,,성진 | 승진 | 숭진
0e4c0ef1e-ec44-c4b1-152b-ff4d3714ca2e,SUNGBOK,,,성복 | 승복 | 숭복
0e4e5e000-0cbc-4816-4312-b37743332c4d,YONG SUNG,,,용성 | 영성 | 용승
0e5b31f76-66b2-8d9f-275d-d897b18dce88,RICHAD,,,
0e6819145-59eb-30ad-e2f8-c3df1b4eaf78,GWANGYANG,,99,광양
0e68337b1-12f8-6b9e-f099-2151ba039ff9,DEOK SU,,,덕수
0e69eae4e-ec62-f65c-1a6b-368d14dcbb31,AJIN,,,아진
0e751326c-ca40-6ec2-4699-72bab08dccf5,CHANGSIN,,,창신
0e8230f39-96a3-3307-e9dc-3eb28af7d35d,JANG WON,,,장원
0e88bd1e8-8d8f-5ee5-d7f1-cf9ccdb07124,NAMYANG,,207,남양
0e9f9cdc8-81e8-b14f-535c-86fcd0875b07,BAEKIL,,,백일 | 배길
0ea03ae64-453e-6a04-9290-5e3b9406125b,MYEONG JIN,,,명진
0eacb3d39-9de8-5892-082e-af4ddf758cfe,CHAMPION,,,
0eb4bd04e-eb8a-2076-ef3d-1e53ec40a3b2,EBADA,,,에바다
0eb96ca12-268f-6256-b797-2850db6c9fbb,DO SEU,,,도스
0ec648c8d-d6bf-8d49-3c88-b13d7de2fa08,BORYUNG,,19,보령
0eede9da4-4b3a-e078-a76f-c7d5915a0652,CHEONG YANG,,9,청양
0ef024ec9-9630-5681-e4c8-d474297a91c5,BAEK YANG,,,백양 | 백향
0ef2d4626-663c-7324-94e7-fef792176690,HAEJIN_HO ____,,,해진
0efa9aeda-ac1d-5d39-db81-68128cf123e7,JIN PRO,,1,
0efaee72b-b34c-bd16-5e3d-c581b0781706,SOL TI GA,,,
0eff63a41-17fa-e0a6-a7f5-67e1cc60bdcf,JJ FISHING,,,
0f14ffc75-5375-386c-51a5-1c5957fa1288,KYUNGHAE,,702,경해
0f30786bf-f72d-332b-d2da-403485b3ff68,JEONGSEONG,,,정성
0f4109f32-2ef9-6dc2-17bd-5e2c2f404e4a,WOOSEONG,,,우성
0f572ec75-5e62-ab60-81f3-038a06ee2394,DAE YANG,8호,,대양
0f5cda172-262c-3949-b9d2-763b3ec028d6,MUNSEONG,,,문성
0f82537bc-caff-a2c2-be37-ac564887a891,MAN GU,,1,만구
0fa168dc6-64f1-1715-69c9-417e56ccdd0e,HEUG BOK,,,흑복
0fa65d3e6-6990-f1af-c225-27210c3bb5a7,SAMSEONG,,,삼성
